Word,V.Mean.Sum,A.Mean.Sum,Number of Anagrams,Anagrams
crest,4.9,3.39,1,['crest']
cretin,4.47,3.71,4,"['cinter', 'cintre', 'cretin', 'crinet']"
crevice,4.67,4.58,1,['crevice']
crew,5.83,3.38,1,['crew']
crewman,5.14,3.2,1,['crewman']
cricket,5.71,3.22,1,['cricket']
crimp,4.95,3.41,1,['crimp']
crimson,5.67,4.52,2,"['crimson', 'microns']"
crisp,5.23,3.95,3,"['crips', 'crisp', 'scrip']"
critique,4.8,3.85,1,['critique']
critter,5.4,4.05,1,['critter']
crock,5.1,4.32,1,['crock']
croquet,5.63,3.5,1,['croquet']
cross,5.67,3.05,1,['cross']
cross country,5.8,4.65,0,[]
crossbow,4.91,5.38,1,['crossbow']
crossfire,4.16,5.9,1,['crossfire']
crossover,5.44,3.95,2,"['crossover', 'overcross']"
crosswalk,5.25,3.52,2,"['classwork', 'crosswalk']"
crotch,4.62,4.96,1,['crotch']
crouch,4.79,4.05,1,['crouch']
crow,4.32,3.55,1,['crow']
crowbar,4.81,3.61,1,['crowbar']
crowd,4.48,5.15,1,['crowd']
crucial,5.16,4.14,1,['crucial']
cruiser,5.32,2.9,3,"['cruiser', 'curries', 'sucrier']"
crumb,5.14,2.95,1,['crumb']
crumble,4.25,4,2,"['clumber', 'crumble']"
crunch,4.79,4.17,1,['crunch']
crusade,4.24,6.2,1,['crusade']
crusader,5.63,5.09,1,['crusader']
crush,4.72,5.6,1,['crush']
crusher,4.8,4.65,2,"['crusher', 'recrush']"
crust,5.76,3.62,2,"['crust', 'curst']"
crusty,4.29,3.17,2,"['crusty', 'curtsy']"
cubby,5,3.71,1,['cubby']
cube,4.75,3.09,1,['cube']
cubic,4.7,3,1,['cubic']
cuckoo,4.79,4.57,1,['cuckoo']
cue,5.84,4.35,2,"['cue', 'ecu']"
cuff,4.81,3.56,1,['cuff']
culmination,5.85,3.43,1,['culmination']
cultivate,5.73,3.81,1,['cultivate']
cunning,5.05,4.9,1,['cunning']
cupboard,4.81,3.52,1,['cupboard']
curb,4.65,3.59,2,"['crub', 'curb']"
curd,5.19,4.37,2,"['crud', 'curd']"
curl,5.72,3.05,1,['curl']
curling,5,4.43,1,['curling']
current,5.53,3.25,1,['current']
curriculum,5.3,3.56,1,['curriculum']
curry,5.4,3.17,1,['curry']
curtain,5.36,3.62,3,"['curtain', 'turacin', 'turcian']"
curtains,5.44,2.63,2,"['curtains', 'saturnic']"
curve,5.81,4.52,1,['curve']
curved,5.24,3.91,1,['curved']
custard,5.45,3.5,1,['custard']
custodial,5.05,3.42,1,['custodial']
custody,4.74,4.14,1,['custody']
custom,5.29,4,2,"['custom', 'muscot']"
customary,5,3.44,1,['customary']
cutlass,5,4.55,1,['cutlass']
cutting board,5.35,3.83,0,[]
cyberspace,5.73,5.04,0,[]
cycle,5.64,4.42,1,['cycle']
cylinder,5.45,3.14,1,['cylinder']
czar,4.53,4.79,1,['czar']
dab,5,3.11,3,"['abd', 'bad', 'dab']"
dabble,5.48,3.05,1,['dabble']
daft,4.5,2.75,1,['daft']
dagger,4.38,5.79,3,"['dagger', 'gadger', 'ragged']"
daily,5.74,4.2,2,"['daily', 'lydia']"
daiquiri,5.68,4.95,1,['daiquiri']
dam,4.58,3.67,3,"['adm', 'dam', 'mad']"
damn,4.32,5.1,2,"['damn', 'mand']"
damper,4.3,3.59,2,"['damper', 'ramped']"
damsel,5.74,4.44,3,"['damsel', 'lameds', 'medals']"
dangle,4.76,4.25,5,"['angled', 'dangle', 'englad', 'gladen', 'lagend']"
dare,4.67,5.6,5,"['ared', 'daer', 'dare', 'dear', 'read']"
daredevil,4.89,6.33,1,['daredevil']
daresay,5.35,3.76,1,['daresay']
dark,5.08,4.09,1,['dark']
darken,4.45,3.86,6,"['danker', 'darken', 'endark', 'kanred', 'narked', 'ranked']"
darkness,4.71,4.08,1,['darkness']
darkroom,4.9,3.61,1,['darkroom']
dart,4.76,3.87,3,"['dart', 'drat', 'trad']"
dash,5.05,4.29,4,"['dahs', 'dash', 'sadh', 'shad']"
dashboard,5.25,3.15,1,['dashboard']
database,4.75,3.33,1,['database']
dawdle,4.77,3.29,2,"['dawdle', 'waddle']"
daycare,5.35,3.39,0,[]
deacon,5.09,3.87,3,"['acnode', 'canoed', 'deacon']"
dealer,4.18,5.42,5,"['dealer', 'leader', 'redeal', 'relade', 'relead']"
dealership,5.15,2.9,2,"['dealership', 'leadership']"
debacle,4.2,4.78,2,"['belaced', 'debacle']"
debatable,5.62,5.8,1,['debatable']
debate,4.95,4.86,1,['debate']
debauchery,4.21,5.28,1,['debauchery']
debrief,4.59,3.61,5,"['briefed', 'debrief', 'defiber', 'fibered', 'firebed']"
debriefing,5.05,3.48,1,['debriefing']
debris,4.2,4.23,4,"['biders', 'brides', 'debris', 'rebids']"
debut,5.81,3.41,2,"['debut', 'tubed']"
debutante,5,4.23,2,"['debutante', 'unabetted']"
decade,4.75,3.61,1,['decade']
decadence,5.21,4.32,1,['decadence']
decathlon,4.67,4.5,1,['decathlon']
decedent,5.3,3.15,1,['decedent']
decency,5.55,3.36,1,['decency']
decimal,4.68,3.35,5,"['camelid', 'claimed', 'decimal', 'declaim', 'medical']"
decimeter,4.82,2.5,2,"['decimeter', 'decimetre']"
decipher,5.09,4.39,2,"['ciphered', 'decipher']"
decision,5.5,3.43,1,['decision']
deck,5.68,3.25,1,['deck']
declaration,5.67,4.24,2,"['declaration', 'redactional']"
declare,5.42,4.4,5,"['cedrela', 'cleared', 'creedal', 'declare', 'relaced']"
deco,5.29,3.74,4,"['code', 'coed', 'deco', 'ecod']"
decode,5.5,4.59,1,['decode']
decompress,4.43,3.52,2,"['compressed', 'decompress']"
decontamination,4.33,4.96,1,['decontamination']
decorum,5.5,2.91,1,['decorum']
decoy,4.61,3.91,2,"['coyed', 'decoy']"
decrease,4.16,3.05,1,['decrease']
decree,5.33,3.9,2,"['decree', 'recede']"
decryption,4.81,4.12,1,['decryption']
deduce,5.29,3.04,3,"['deduce', 'deuced', 'educed']"
deduct,4.24,4.11,2,"['deduct', 'ducted']"
deductible,4.71,4.29,1,['deductible']
deduction,5.14,3.23,1,['deduction']
deem,4.74,3.29,4,"['deem', 'deme', 'mede', 'meed']"
deep,5.44,3.9,3,"['deep', 'depe', 'peed']"
default,4.16,4.57,2,"['default', 'faulted']"
defector,4.35,3.75,1,['defector']
defender,5.05,3.76,2,"['defender', 'fendered']"
defense,5.36,5.11,1,['defense']
defensive,4.65,4.28,1,['defensive']
defer,4.5,2.7,3,"['defer', 'freed', 'refed']"
defiance,4.15,5.86,1,['defiance']
define,5.57,3.95,2,"['define', 'infeed']"
definite,5.79,4.19,1,['definite']
definition,5.63,3.14,1,['definition']
definitive,5.57,3.83,1,['definitive']
deflect,5.1,3.68,2,"['clefted', 'deflect']"
defrost,4.86,3.48,2,"['defrost', 'frosted']"
deft,4.67,3,1,['deft']
defuse,5.78,4.68,1,['defuse']
defy,4.84,5.43,1,['defy']
degree,5.63,4.1,1,['degree']
delegate,5.15,3.72,1,['delegate']
delegation,5.2,3.62,2,"['degelation', 'delegation']"
deli,5.42,4.3,7,"['deil', 'deli', 'diel', 'eild', 'idle', 'lide', 'lied']"
deliberate,4.8,3.48,1,['deliberate']
deliberation,5.19,3.95,1,['deliberation']
delirious,4.32,5.81,1,['delirious']
deliverance,5.73,3.95,1,['deliverance']
delta,5.3,3.32,5,"['adlet', 'dealt', 'delta', 'lated', 'taled']"
demeanor,5.32,2.9,2,"['demeanor', 'enamored']"
demo,5.65,3.91,4,"['demo', 'dome', 'mode', 'moed']"
democrat,5.54,5.65,1,['democrat']
democratic,5.7,4.33,1,['democratic']
demographic,4.41,3.73,1,['demographic']
demonstrate,5.47,4.14,1,['demonstrate']
demonstration,5.5,3.53,1,['demonstration']
demure,4.55,3.35,1,['demure']
den,5.11,2.86,3,"['den', 'end', 'ned']"
denominator,4.61,4.09,1,['denominator']
denounce,4.24,4.08,2,"['denounce', 'enounced']"
dense,4.68,3.59,3,"['denes', 'dense', 'needs']"
density,5.15,3.55,2,"['density', 'destiny']"
dental,4.73,4.79,2,"['dental', 'tandle']"
department,5.33,2.5,1,['department']
departmental,4.67,4.12,1,['departmental']
depend,5,4.45,2,"['depend', 'pended']"
dependent,4.5,3.73,1,['dependent']
depict,4.74,3.88,1,['depict']
deploy,4.25,4.96,3,"['deploy', 'ployed', 'podley']"
depose,4.2,4.3,3,"['depose', 'epodes', 'speedo']"
depository,4.76,4.05,1,['depository']
depot,5.18,3.19,3,"['depot', 'opted', 'toped']"
depth,5.8,4.35,1,['depth']
deputy,5.3,4.05,1,['deputy']
derivative,4.7,3.72,1,['derivative']
derive,4.72,2.9,3,"['derive', 'redive', 'reived']"
descend,4.67,3.17,2,"['descend', 'scended']"
descendant,5.26,4.24,2,"['adscendent', 'descendant']"
descent,5.3,3.9,2,"['descent', 'scented']"
description,5.24,3.64,3,"['description', 'discerption', 'predictions']"
descriptive,5.74,3.45,2,"['descriptive', 'discerptive']"
desert,5.36,3.5,3,"['desert', 'deters', 'rested']"
designate,5.62,4.6,1,['designate']
designated,5.1,3.85,1,['designated']
designer,5.57,5,5,"['designer', 'energids', 'redesign', 'reedings', 'resigned']"
desist,4.27,3.84,3,"['deists', 'desist', 'sidest']"
desk,5.56,2.45,2,"['desk', 'sked']"
desperado,4.4,3.41,1,['desperado']
detach,4.5,3.19,1,['detach']
detachment,4.3,3.32,1,['detachment']
detail,5.67,3.81,5,"['detail', 'dietal', 'dilate', 'edital', 'tailed']"
detect,5.09,4.57,1,['detect']
detection,4.63,3.95,1,['detection']
detective,5.06,4.55,1,['detective']
detector,4.42,4.52,2,"['cottered', 'detector']"
detergent,5.42,3.25,1,['detergent']
deterrent,4.58,4.23,1,['deterrent']
detonator,4.3,5.39,3,"['detonator', 'rattooned', 'tetraodon']"
deuce,4.53,3.5,2,"['deuce', 'educe']"
deutschmark,4.42,3.23,0,[]
development,5.25,4.23,1,['development']
deviate,5.1,4.27,1,['deviate']
deviation,4.9,4.7,1,['deviation']
device,5.79,3.42,1,['device']
devilish,4.22,6.38,1,['devilish']
devise,4.45,4.48,3,"['devise', 'sieved', 'viseed']"
devote,5.53,4.05,2,"['devote', 'vetoed']"
devour,5.21,6.06,1,['devour']
devout,4.48,4.13,1,['devout']
dew,4.79,3.04,2,"['dew', 'wed']"
diagnose,5,3.72,2,"['agonised', 'diagnose']"
diagnosis,4.62,4,1,['diagnosis']
diagnostic,4.81,4.57,1,['diagnostic']
diagonal,5.17,3.29,3,"['diagonal', 'ganoidal', 'gonadial']"
diagram,5.47,3.71,1,['diagram']
dial,4.63,3.76,5,"['dail', 'dali', 'dial', 'laid', 'lida']"
diameter,4.76,4.04,2,"['diameter', 'diatreme']"
diaphragm,4.67,3.96,1,['diaphragm']
dib,5,3.05,2,"['bid', 'dib']"
dibs,5.21,4.62,2,"['bids', 'dibs']"
dice,5.8,4.64,3,"['cedi', 'dice', 'iced']"
dicey,4.24,4.7,1,['dicey']
dictate,4.4,3.24,1,['dictate']
dictation,4.26,2.94,1,['dictation']
diction,4.85,3.73,1,['diction']
diddle,4.75,3.15,2,"['diddle', 'lidded']"
diesel,4.32,3.78,6,"['delies', 'diesel', 'ediles', 'elides', 'sedile', 'seidel']"
diet,4.42,3.83,6,"['deti', 'diet', 'dite', 'edit', 'tide', 'tied']"
differ,5.1,3.26,2,"['differ', 'riffed']"
difference,4.89,3.15,1,['difference']
diffuse,5.04,3.86,2,"['diffuse', 'duffies']"
dig,5.28,3.67,2,"['dig', 'gid']"
digest,4.74,2.9,1,['digest']
digestion,4.5,3.86,1,['digestion']
digestive,5,4,1,['digestive']
digit,4.84,3.05,1,['digit']
dignify,5.68,4.24,1,['dignify']
dike,4.22,4.85,2,"['dike', 'keid']"
dilation,5.16,4.14,1,['dilation']
dildo,4.57,5.09,1,['dildo']
dilemma,4.24,5.19,1,['dilemma']
diligence,5.68,4.63,2,"['ceilinged', 'diligence']"
dill,5.85,3.25,1,['dill']
dime,5.58,3.52,5,"['demi', 'diem', 'dime', 'idem', 'mide']"
dimension,5.24,3.73,1,['dimension']
diminutive,4.42,3.5,1,['diminutive']
dinghy,4.82,4.17,1,['dinghy']
dingo,5.65,4.25,4,"['dingo', 'doing', 'gondi', 'gonid']"
diocese,5.05,4,1,['diocese']
dioxide,4.58,3.95,1,['dioxide']
dip,5.42,3.35,1,['dip']
diplomacy,5.53,5.22,1,['diplomacy']
diplomat,4.65,3.65,1,['diplomat']
dipper,5.39,3.36,2,"['dipper', 'ripped']"
dippy,4.26,4.32,1,['dippy']
direct,5.75,4.29,3,"['credit', 'direct', 'triced']"
direction,5.45,3.33,2,"['cretinoid', 'direction']"
directive,5.7,4.3,2,"['creditive', 'directive']"
director,4.95,3.75,2,"['creditor', 'director']"
directory,5.21,3.33,1,['directory']
dirt,4.5,3.44,2,"['dirt', 'trid']"
disarm,4.38,3.7,1,['disarm']
disbelief,4.21,5.58,1,['disbelief']
disc,5.6,3.56,1,['disc']
discerning,4.95,4.26,2,"['discerning', 'rescinding']"
disciple,4.67,3.52,1,['disciple']
disclosure,4.71,3.15,1,['disclosure']
disco,5.76,5.25,2,"['disco', 'sodic']"
discount,5.78,4.62,3,"['conduits', 'discount', 'noctuids']"
discreet,5.05,3.4,4,"['creedist', 'desertic', 'discreet', 'discrete']"
discretion,5.4,3.57,3,"['directions', 'discretion', 'soricident']"
discretionary,5.53,3,1,['discretionary']
disguise,4.81,4.36,1,['disguise']
dish,5.7,3.57,1,['dish']
dishwasher,5.32,3.05,1,['dishwasher']
disinfect,5.11,4,1,['disinfect']
disinfectant,5.1,2.96,1,['disinfectant']
disintegrate,4.32,5.43,1,['disintegrate']
disk,5.24,2.95,3,"['disk', 'kids', 'skid']"
dismantle,4.74,4.05,2,"['dentalism', 'dismantle']"
dismiss,4.58,3.7,1,['dismiss']
dismount,5.05,3.59,1,['dismount']
dispatch,4.9,3.55,1,['dispatch']
dispatcher,4.59,3.86,2,"['dispatcher', 'redispatch']"
dispensary,5.05,4.14,1,['dispensary']
dispense,5.24,2.95,2,"['dispense', 'piedness']"
dispenser,5.26,4.18,1,['dispenser']
dispersal,4.91,4.43,1,['dispersal']
disperse,4.19,3.67,3,"['despiser', 'disperse', 'presides']"
disposition,4.81,4.16,1,['disposition']
disregard,4.52,3.5,1,['disregard']
dissent,4.8,4,3,"['disnest', 'dissent', 'snidest']"
dissertation,4.3,3.71,1,['dissertation']
dissolve,5.43,3.36,2,"['dissolve', 'voidless']"
distant,4.74,2.95,2,"['dantist', 'distant']"
distilled,5.16,3.11,1,['distilled']
distinct,5.55,3.67,1,['distinct']
distinction,5.05,3.6,1,['distinction']
distinguish,5.26,3.87,1,['distinguish']
distinguishing,5.37,5.7,1,['distinguishing']
distribute,5.05,3.72,1,['distribute']
distribution,5.5,3.45,1,['distribution']
distributor,4.62,3.2,1,['distributor']
district,4.9,3,1,['district']
ditto,5.5,3.9,1,['ditto']
ditty,5.38,3.68,1,['ditty']
dive,5.81,3.79,4,"['devi', 'dive', 'vide', 'vied']"
diver,5.66,5.42,5,"['deriv', 'diver', 'drive', 'rived', 'verdi']"
diversion,5.22,4.48,1,['diversion']
diversionary,4.42,3.52,1,['diversionary']
divert,4.42,4.1,1,['divert']
divide,4.78,4.62,1,['divide']
division,4.42,3.57,1,['division']
divulge,4.79,5.43,1,['divulge']
divvy,4.81,3.27,1,['divvy']
do,5.41,3.67,2,"['do', 'od']"
doable,5.52,4.24,2,"['albedo', 'doable']"
doc,4.67,3.14,2,"['cod', 'doc']"
docile,5.75,2.47,3,"['cleoid', 'coiled', 'docile']"
dock,5.05,3.44,1,['dock']
docket,4.53,3.3,1,['docket']
docking,5.2,3.74,1,['docking']
doctrine,4.89,3,2,"['centroid', 'doctrine']"
document,5.42,2.9,1,['document']
documentation,4.84,3.38,1,['documentation']
documents,5.35,3.73,1,['documents']
dodger,4.7,3.95,1,['dodger']
dodgy,4.79,4.55,1,['dodgy']
doer,5.63,4.38,6,"['dero', 'doer', 'ored', 'redo', 'rode', 'roed']"
doghouse,5.1,2.68,1,['doghouse']
dole,4.95,4.4,5,"['dole', 'elod', 'lode', 'loed', 'odel']"
dollhouse,5.6,3.55,1,['dollhouse']
domain,5.05,3.36,4,"['amidon', 'daimon', 'domain', 'domina']"
domestic,5.05,2.8,4,"['comedist', 'demotics', 'docetism', 'domestic']"
domesticated,5.82,3.67,1,['domesticated']
dominance,5.19,5.5,2,"['demicanon', 'dominance']"
dominant,5.15,5.36,1,['dominant']
dominate,4.4,6.4,2,"['dominate', 'nematoid']"
dominatrix,4.32,5.65,1,['admonitrix']
dominion,4.62,4.67,1,['dominion']
domino,5,3.46,2,"['domino', 'monoid']"
door,5.43,3.19,5,"['door', 'odor', 'oord', 'ordo', 'rood']"
doorbell,5.33,4.17,2,"['bordello', 'doorbell']"
doorknob,4.86,2.64,1,['doorknob']
doorman,5.45,3.35,2,"['doorman', 'madrono']"
doornail,4.68,3.32,1,['doornail']
doorstep,5.14,3.26,2,"['doorstep', 'torpedos']"
doorway,5.68,3.65,1,['doorway']
dopamine,4.64,4.58,1,['dopamine']
dork,4.35,2.88,0,[]
dorky,5.12,4.5,0,[]
dorm,5.16,4.29,2,"['dorm', 'mord']"
dormant,4.85,3,2,"['dormant', 'mordant']"
dormitory,5.06,4.5,1,['dormitory']
dorsal,5.05,3.7,1,['dorsal']
dosage,4.57,4,3,"['dagoes', 'dosage', 'seadog']"
dose,4.91,2.95,3,"['does', 'dose', 'odes']"
dossier,4.84,3.72,1,['dossier']
dot,4.84,3.09,2,"['dot', 'tod']"
dotted,4.86,3.33,1,['dotted']
dotty,5.16,3.55,1,['dotty']
double,5.78,3.38,2,"['dobule', 'double']"
doughboy,4.84,4,1,['doughboy']
downfield,4.84,2.5,1,['downfield']
downriver,5.61,3.55,1,['downriver']
downtime,5.8,3.06,1,['downtime']
downy,5.77,3.11,1,['downy']
dowry,4.7,3.11,3,"['dowry', 'rowdy', 'wordy']"
dozen,5.78,2.95,3,"['dozen', 'zendo', 'zoned']"
draft,5.3,4.1,1,['draft']
drafty,4.3,3.73,2,"['drafty', 'dryfat']"
drainpipe,4.52,2.91,1,['drainpipe']
drake,5.05,4.32,5,"['daker', 'drake', 'kedar', 'radek', 'raked']"
drama,4.37,5.14,2,"['damar', 'drama']"
dramatic,5.17,6.59,1,['dramatic']
drape,4.95,3.29,6,"['drape', 'padre', 'parde', 'pared', 'raped', 'repad']"
drastic,4.63,5.2,1,['drastic']
drat,4.25,3.4,3,"['dart', 'drat', 'trad']"
drawback,4.38,3.08,2,"['backward', 'drawback']"
drawbridge,5.45,3.3,2,"['bridgeward', 'drawbridge']"
drawer,4.67,3,5,"['drawer', 'redraw', 'reward', 'warder', 'warred']"
dresser,5.28,2.58,2,"['dresser', 'redress']"
dressy,5.82,4.15,1,['dressy']
dribble,4.68,3.75,2,"['dibbler', 'dribble']"
drift,5.09,3.32,1,['drift']
drifter,4.95,4.32,1,['drifter']
driftwood,5.53,3.1,1,['driftwood']
drill,4.73,5.11,1,['drill']
drip,5.52,3.7,1,['drip']
drivel,4.29,4.65,2,"['drivel', 'virled']"
driveway,4.57,3.38,1,['driveway']
drizzle,5.18,4.23,1,['drizzle']
droll,5.09,3.41,1,['droll']
drop,4.23,4.67,3,"['dorp', 'drop', 'prod']"
dropper,5.05,3.45,1,['dropper']
drowsy,4.25,2.83,1,['drowsy']
drugstore,4.74,4.05,1,['drugstore']
dry,4.86,3.8,1,['dry']
dryer,5.21,2.43,4,"['derry', 'dryer', 'redry', 'ryder']"
dual,5.14,4.39,4,"['auld', 'dual', 'laud', 'udal']"
dub,5.35,4.58,2,"['bud', 'dub']"
duct,4.24,2.8,1,['duct']
due,4.94,4.38,1,['due']
duel,5.05,5.55,3,"['deul', 'duel', 'leud']"
duffel,4.9,3.5,3,"['duffel', 'duffle', 'luffed']"
dugout,4.55,4.08,1,['dugout']
duh,4.5,3.9,2,"['dhu', 'hud']"
duke,4.8,4.21,1,['duke']
dullard,4.68,3.58,1,['dullard']
dumbbell,4.71,3.54,1,['dumbbell']
dune,5.35,2.76,3,"['dune', 'nude', 'unde']"
dunk,4.67,3.6,1,['dunk']
duplex,5.67,3.09,1,['duplex']
duplicate,4.7,4.5,1,['duplicate']
duration,5.43,3.3,2,"['duration', 'unadroit']"
dusk,5.63,3.52,1,['dusk']
dusky,4.95,4.55,1,['dusky']
duster,5.26,2.85,6,"['derust', 'duster', 'redust', 'rudest', 'rusted', 'strude']"
dustpan,4.67,2.86,3,"['dustpan', 'standup', 'upstand']"
duty,5.33,3.71,1,['duty']
dwarf,4.71,3.43,1,['dwarf']
dweeb,4.17,3.86,1,['bedew']
dwell,4.75,3.14,1,['dwell']
dwelling,5.21,3.57,1,['dwelling']
dye,5.25,3.3,3,"['dey', 'dye', 'yed']"
dynamite,4.79,6.4,1,['dynamite']
dynasty,5.16,4.45,1,['dynasty']
earful,4.27,4.19,3,"['earful', 'farleu', 'ferula']"
earl,5.15,3.64,7,"['arle', 'earl', 'eral', 'lare', 'lear', 'rale', 'real']"
earpiece,5.04,3.86,1,['earpiece']
earrings,5.32,4.22,2,"['earrings', 'grainers']"
earthling,5.53,3.09,4,"['earthling', 'haltering', 'heartling', 'lathering']"
earthly,5.63,3.55,4,"['earthly', 'heartly', 'lathery', 'rathely']"
eastbound,5.65,2.2,2,"['eastbound', 'unboasted']"
eastern,5.37,3.48,3,"['earnest', 'eastern', 'nearest']"
eater,4.95,4.23,3,"['arete', 'eater', 'teaer']"
eccentric,5.37,5.19,1,['eccentric']
echelon,5.55,3.17,2,"['chelone', 'echelon']"
echinacea,4.8,3.73,1,['echinacea']
echo,5.2,3.61,1,['echo']
ecological,5.62,3.81,1,['ecological']
economic,5.1,3.62,1,['economic']
economics,5.2,3.7,2,"['economics', 'neocosmic']"
edge,4.43,4.65,2,"['edge', 'geed']"
edgy,4.81,4.39,1,['edgy']
edifice,5,3.95,1,['edifice']
edit,4.95,4.1,6,"['deti', 'diet', 'dite', 'edit', 'tide', 'tied']"
editing,5.45,5.58,3,"['dieting', 'editing', 'ignited']"
edition,5.3,3.79,4,"['edition', 'odinite', 'otidine', 'tineoid']"
editor,5.43,4.09,4,"['dotier', 'editor', 'rioted', 'triode']"
editorial,5.18,2.9,2,"['editorial', 'radiolite']"
effect,5.5,4.08,1,['effect']
egghead,4.47,3.59,1,['egghead']
eggplant,5.55,3.14,1,['eggplant']
eggshell,5.2,3.17,1,['eggshell']
ego,4.38,4.17,2,"['ego', 'geo']"
eight,5.37,3.48,1,['eight']
eighteen,5.72,3.83,1,['eighteen']
eighty,5.43,3.41,1,['eighty']
ejaculation,5.42,6.18,1,['ejaculation']
El Nino,4.29,4.09,0,[]
elastic,5.71,4.35,5,"['astelic', 'castile', 'elastic', 'laciest', 'latices']"
elbow,5.38,3.2,4,"['below', 'bowel', 'bowle', 'elbow']"
elderly,4.63,2.73,1,['elderly']
elect,5.52,4,1,['elect']
election,4.5,4.23,2,"['coteline', 'election']"
elective,5.38,3.54,2,"['cleveite', 'elective']"
electoral,4.21,3.86,2,"['electoral', 'recollate']"
electrical,5.57,6,1,['electrical']
electrician,5.21,3.19,1,['electrician']
electromagnetic,5.1,5.22,2,"['electromagnetic', 'magnetoelectric']"
electron,5.33,3.82,1,['electron']
element,5.58,3.9,3,"['element', 'leetmen', 'telemen']"
elemental,5.19,4.35,1,['elemental']
elevation,5.67,3.57,1,['elevation']
eleven,5,3.05,1,['eleven']
elite,5.71,5.9,2,"['elite', 'telei']"
elitist,4.5,4.57,1,['elitist']
elixir,5.68,3.95,1,['elixir']
elk,5.81,3.48,2,"['elk', 'lek']"
elude,4.62,4,1,['elude']
elusive,4.3,4.5,2,"['elusive', 'eluvies']"
embankment,5,3.62,1,['embankment']
embargo,5.05,4.59,2,"['bergamo', 'embargo']"
embassy,5.3,3.91,1,['embassy']
embodiment,5.72,3.78,1,['embodiment']
embryo,5.75,3.7,1,['embryo']
emcee,5.15,4.05,2,"['emcee', 'meece']"
emerge,5.75,4.74,1,['emerge']
emery,4.74,3.59,1,['emery']
eminence,5.43,4.5,1,['eminence']
eminent,5.58,4.95,2,"['eminent', 'tinemen']"
emissary,4.76,3.39,2,"['emissary', 'missayer']"
emit,4.81,3.96,4,"['emit', 'item', 'mite', 'time']"
emotional,5.11,5.32,1,['emotional']
emperor,4.68,4.25,1,['emperor']
emphasis,5.26,4.1,2,"['emphasis', 'misshape']"
emphasize,5.75,4.21,1,['emphasize']
empire,5.36,4.59,3,"['empire', 'epimer', 'premie']"
empirical,4.67,4.14,1,['empirical']
employee,5.29,4.65,1,['employee']
employer,5.3,4.06,3,"['employer', 'polymere', 'reemploy']"
emporium,5.25,4.17,3,"['emporium', 'pomerium', 'proemium']"
empress,4.95,3.87,2,"['empress', 'sempres']"
emu,5.45,4,3,"['emu', 'meu', 'ume']"
emulate,5.11,4.15,1,['emulate']
enable,5.13,3.95,2,"['baleen', 'enable']"
enamel,5.42,3.79,2,"['enamel', 'melena']"
enchantress,5.82,4.1,1,['enchantress']
enclosure,4.6,3.35,2,"['enclosure', 'recounsel']"
encounter,5.16,4.67,1,['encounter']
encryption,5.14,4,1,['encryption']
end,4.73,3.95,3,"['den', 'end', 'ned']"
end table,5.25,2.7,0,[]
endgame,4.23,5.26,2,"['edgeman', 'endgame']"
ending,4.23,4.19,2,"['ending', 'ginned']"
endorse,5.2,3.17,1,['endorse']
endure,4.95,3.77,3,"['durene', 'endure', 'enured']"
enforce,5.32,5.3,2,"['enforce', 'forcene']"
enforcement,4.67,4.48,1,['enforcement']
engine,5.48,3.89,2,"['engine', 'ingene']"
engineer,5.79,4.22,1,['engineer']
enigma,5.35,4.65,5,"['enigma', 'gamine', 'igname', 'imagen', 'maeing']"
enlarge,5.33,3.87,3,"['enlarge', 'general', 'gleaner']"
enlargement,4.65,3.86,1,['enlargement']
enlist,4.42,3.71,6,"['enlist', 'inlets', 'listen', 'silent', 'slinte', 'tinsel']"
enormous,5.68,5.05,2,"['enormous', 'unmorose']"
ensemble,5.67,3.86,1,['ensemble']
ensure,5.71,3.57,4,"['ensuer', 'ensure', 'enures', 'unsere']"
entail,5.35,4.11,3,"['entail', 'tenail', 'tineal']"
enterprising,5.52,4.33,2,"['enterprising', 'preinserting']"
entice,5.33,4.42,2,"['ceinte', 'entice']"
entire,5.67,2.85,4,"['entier', 'entire', 'nerite', 'triene']"
entitle,4.89,4,2,"['entitle', 'titlene']"
entity,5.19,3.48,2,"['entity', 'tinety']"
entourage,4.9,4,1,['entourage']
entry,4.95,4.41,1,['entry']
environmental,5.5,6.05,1,['environmental']
envoy,4.9,3.74,3,"['envoy', 'yoven', 'nevoy']"
enzyme,5.14,3.1,1,['enzyme']
episode,5,3.67,1,['episode']
epitaph,4.53,3.52,1,['epitaph']
epitome,5.67,4.23,1,['epitome']
equalizer,5.05,3.68,1,['equalizer']
equation,5.29,3.91,1,['equation']
equator,5.42,4.1,1,['equator']
equestrian,5.71,3.35,1,['equestrian']
equipment,5.62,3.04,1,['equipment']
equity,5.41,3.91,1,['equity']
era,5.29,3.62,5,"['aer', 'are', 'ear', 'era', 'rea']"
erase,4.89,3.55,3,"['easer', 'erase', 'saree']"
eraser,5.64,3.57,3,"['eraser', 'searer', 'serrae']"
erect,5.79,5.43,3,"['crete', 'erect', 'terce']"
erectile,4.5,5.5,1,['erectile']
ergo,4.86,4,5,"['ergo', 'goer', 'gore', 'ogre', 'rego']"
erotic,5.83,7.27,3,"['erotic', 'oretic', 'tercio']"
errand,4.68,3.89,5,"['darner', 'darren', 'errand', 'rander', 'redarn']"
